coordinate,u_hdx4,v_hdx4,u_hdx3.5,v_hdx3.5,u_hdx3,v_hdx3,u_hdx2.5,v_hdx2.5,u_hdx2,v_hdx2
-0.23500,-0.013662,0.015698,-0.013699,0.015794,-0.013674,0.015760,-0.013335,0.015409,0.002107,0.007278
-0.23000,-0.013809,0.015490,-0.013851,0.015589,-0.013821,0.015551,-0.013477,0.015203,0.001942,0.010385
-0.22500,-0.013959,0.015279,-0.014008,0.015380,-0.013972,0.015340,-0.013621,0.014995,0.003256,0.014552
-0.22000,-0.014112,0.015065,-0.014168,0.015168,-0.014128,0.015129,-0.013765,0.014783,0.003723,0.013272
-0.21500,-0.014269,0.014849,-0.014331,0.014955,-0.014289,0.014914,-0.013913,0.014566,0.004855,-0.003229
-0.21000,-0.014429,0.014629,-0.014495,0.014740,-0.014453,0.014694,-0.014065,0.014347,0.005155,-0.028136
-0.20500,-0.014593,0.014407,-0.014662,0.014520,-0.014620,0.014469,-0.014225,0.014128,0.003678,-0.032991
-0.20000,-0.014760,0.014183,-0.014830,0.014297,-0.014794,0.014239,-0.014385,0.013909,0.001234,0.002877
-0.19500,-0.014930,0.013957,-0.015001,0.014070,-0.014970,0.014003,-0.014549,0.013697,-0.001466,0.031413
-0.19000,-0.015104,0.013729,-0.015173,0.013840,-0.015148,0.013763,-0.014715,0.013485,-0.002392,0.030227
-0.18500,-0.015281,0.013499,-0.015350,0.013607,-0.015329,0.013519,-0.014888,0.013265,-0.001684,0.018009
-0.18000,-0.015462,0.013267,-0.015531,0.013373,-0.015517,0.013272,-0.015059,0.013048,-0.000508,0.004452
-0.17500,-0.015646,0.013033,-0.015717,0.013136,-0.015707,0.013024,-0.015241,0.012826,0.000220,-0.001959
-0.17000,-0.015835,0.012797,-0.015906,0.012897,-0.015901,0.012772,-0.015421,0.012603,0.003869,0.000867
-0.16500,-0.016027,0.012558,-0.016100,0.012654,-0.016098,0.012522,-0.015606,0.012380,0.007877,0.003697
-0.16000,-0.016223,0.012318,-0.016296,0.012408,-0.016298,0.012273,-0.015789,0.012152,0.006609,0.005392
-0.15500,-0.016423,0.012074,-0.016497,0.012161,-0.016500,0.012025,-0.015979,0.011900,0.003487,0.005758
-0.15000,-0.016626,0.011827,-0.016702,0.011913,-0.016704,0.011771,-0.016171,0.011650,0.000867,0.007505
-0.14500,-0.016834,0.011577,-0.016910,0.011661,-0.016912,0.011513,-0.016372,0.011403,0.000190,0.008688
-0.14000,-0.017045,0.011323,-0.017121,0.011405,-0.017121,0.011255,-0.016579,0.011148,-0.000428,0.005314
-0.13500,-0.017260,0.011067,-0.017336,0.011145,-0.017332,0.010999,-0.016791,0.010875,-0.000752,-0.001986
-0.13000,-0.017478,0.010807,-0.017553,0.010882,-0.017543,0.010739,-0.017004,0.010610,-0.000181,-0.000664
-0.12500,-0.017702,0.010545,-0.017774,0.010618,-0.017759,0.010478,-0.017213,0.010346,-0.003456,0.000130
-0.12000,-0.017930,0.010281,-0.018001,0.010351,-0.017981,0.010214,-0.017423,0.010074,-0.006992,0.000133
-0.11500,-0.018162,0.010014,-0.018233,0.010082,-0.018208,0.009946,-0.017637,0.009800,-0.005387,-0.000849
-0.11000,-0.018396,0.009745,-0.018466,0.009811,-0.018442,0.009676,-0.017863,0.009540,-0.003183,0.000498
-0.10500,-0.018634,0.009474,-0.018702,0.009535,-0.018678,0.009404,-0.018101,0.009283,-0.002069,0.003483
-0.10000,-0.018875,0.009200,-0.018943,0.009255,-0.018918,0.009130,-0.018338,0.009018,-0.001568,0.002378
-0.09500,-0.019120,0.008924,-0.019187,0.008973,-0.019165,0.008855,-0.018573,0.008743,-0.002506,-0.003724
-0.09000,-0.019368,0.008645,-0.019433,0.008690,-0.019417,0.008580,-0.018810,0.008458,-0.003293,-0.023148
-0.08500,-0.019619,0.008364,-0.019682,0.008403,-0.019673,0.008305,-0.019054,0.008176,-0.002375,-0.036571
-0.08000,-0.019873,0.008080,-0.019936,0.008115,-0.019931,0.008027,-0.019293,0.007905,0.000100,-0.034577
-0.07500,-0.020131,0.007793,-0.020193,0.007825,-0.020191,0.007747,-0.019533,0.007635,0.000949,-0.019458
-0.07000,-0.020393,0.007503,-0.020454,0.007532,-0.020456,0.007464,-0.019774,0.007348,0.002608,-0.008955
-0.06500,-0.020658,0.007209,-0.020717,0.007235,-0.020722,0.007175,-0.020020,0.007047,0.003909,-0.009419
-0.06000,-0.020926,0.006912,-0.020983,0.006936,-0.020987,0.006882,-0.020276,0.006733,0.003263,-0.003742
-0.05500,-0.021200,0.006612,-0.021253,0.006637,-0.021256,0.006584,-0.020551,0.006435,0.003782,0.001744
-0.05000,-0.021477,0.006310,-0.021528,0.006337,-0.021531,0.006287,-0.020827,0.006152,0.004374,0.001158
-0.04500,-0.021758,0.006007,-0.021808,0.006038,-0.021816,0.005983,-0.021105,0.005864,0.003210,-0.001528
-0.04000,-0.022043,0.005701,-0.022093,0.005737,-0.022110,0.005675,-0.021387,0.005570,0.002033,-0.002067
-0.03500,-0.022331,0.005394,-0.022385,0.005432,-0.022408,0.005366,-0.021670,0.005281,0.002500,-0.000858
-0.03000,-0.022623,0.005085,-0.022681,0.005120,-0.022707,0.005063,-0.021968,0.004991,0.003043,-0.000204
-0.02500,-0.022919,0.004773,-0.022981,0.004803,-0.023007,0.004760,-0.022260,0.004697,0.002775,-0.001577
-0.02000,-0.023219,0.004458,-0.023283,0.004483,-0.023314,0.004454,-0.022559,0.004408,0.000035,-0.001966
-0.01500,-0.023524,0.004141,-0.023589,0.004161,-0.023620,0.004145,-0.022851,0.004123,-0.007019,0.001324
-0.01000,-0.023833,0.003822,-0.023901,0.003838,-0.023926,0.003833,-0.023153,0.003819,-0.018496,0.005389
-0.00500,-0.024146,0.003502,-0.024218,0.003515,-0.024239,0.003521,-0.023454,0.003506,-0.017291,0.005624
0.00000,-0.024460,0.003177,-0.024537,0.003192,-0.024564,0.003201,-0.023758,0.003188,-0.005745,0.003109
0.00500,-0.024778,0.002850,-0.024859,0.002869,-0.024895,0.002874,-0.024059,0.002876,-0.000689,-0.003143
0.01000,-0.025100,0.002520,-0.025185,0.002544,-0.025233,0.002544,-0.024363,0.002569,-0.000466,-0.006828
0.01500,-0.025426,0.002188,-0.025515,0.002213,-0.025578,0.002212,-0.024688,0.002263,-0.000650,-0.006050
0.02000,-0.025757,0.001854,-0.025849,0.001877,-0.025924,0.001880,-0.025023,0.001945,-0.001603,-0.001802
