timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/24 16:05:46.152, 0, 54 MHz, 405 MHz, 30.34 W, 51, 2 %, 3250 MiB
2026/09/24 16:05:46.152, 1, 2715 MHz, 14001 MHz, 599.50 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:47.159, 0, 50 MHz, 405 MHz, 30.46 W, 51, 2 %, 3228 MiB
2026/09/24 16:05:47.159, 1, 2715 MHz, 14001 MHz, 600.02 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:48.163, 0, 51 MHz, 405 MHz, 30.12 W, 51, 1 %, 3224 MiB
2026/09/24 16:05:48.163, 1, 2715 MHz, 14001 MHz, 599.95 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:49.165, 0, 457 MHz, 405 MHz, 30.58 W, 51, 1 %, 3224 MiB
2026/09/24 16:05:49.165, 1, 2715 MHz, 14001 MHz, 599.91 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:50.168, 0, 360 MHz, 405 MHz, 30.18 W, 51, 1 %, 3224 MiB
2026/09/24 16:05:50.168, 1, 2715 MHz, 14001 MHz, 599.98 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:51.172, 0, 65 MHz, 405 MHz, 28.55 W, 51, 3 %, 3224 MiB
2026/09/24 16:05:51.172, 1, 2715 MHz, 14001 MHz, 600.04 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:52.186, 0, 427 MHz, 405 MHz, 37.16 W, 51, 1 %, 3224 MiB
2026/09/24 16:05:52.186, 1, 2715 MHz, 14001 MHz, 600.12 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:53.189, 0, 50 MHz, 405 MHz, 35.99 W, 51, 2 %, 3224 MiB
2026/09/24 16:05:53.189, 1, 2715 MHz, 14001 MHz, 599.81 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:54.195, 0, 66 MHz, 405 MHz, 30.61 W, 51, 3 %, 3224 MiB
2026/09/24 16:05:54.195, 1, 2715 MHz, 14001 MHz, 599.94 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:55.195, 0, 49 MHz, 405 MHz, 28.83 W, 51, 1 %, 3224 MiB
2026/09/24 16:05:55.195, 1, 2707 MHz, 14001 MHz, 600.05 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:56.208, 0, 397 MHz, 405 MHz, 27.74 W, 51, 1 %, 3200 MiB
2026/09/24 16:05:56.208, 1, 2707 MHz, 14001 MHz, 599.96 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:57.215, 0, 47 MHz, 405 MHz, 30.29 W, 51, 1 %, 3200 MiB
2026/09/24 16:05:57.215, 1, 2707 MHz, 14001 MHz, 600.10 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:58.215, 0, 53 MHz, 405 MHz, 27.57 W, 51, 2 %, 3200 MiB
2026/09/24 16:05:58.215, 1, 2707 MHz, 14001 MHz, 600.08 W, 68, 100 %, 2757 MiB
2026/09/24 16:05:59.218, 0, 52 MHz, 405 MHz, 27.04 W, 51, 1 %, 3200 MiB
2026/09/24 16:05:59.218, 1, 2745 MHz, 14001 MHz, 595.40 W, 67, 100 %, 2757 MiB
2026/09/24 16:06:00.224, 0, 54 MHz, 405 MHz, 28.01 W, 51, 2 %, 3200 MiB
2026/09/24 16:06:00.224, 1, 2707 MHz, 14001 MHz, 599.88 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:01.226, 0, 70 MHz, 405 MHz, 30.67 W, 51, 3 %, 3200 MiB
2026/09/24 16:06:01.226, 1, 2707 MHz, 14001 MHz, 600.15 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:02.231, 0, 727 MHz, 405 MHz, 33.15 W, 51, 8 %, 3227 MiB
2026/09/24 16:06:02.231, 1, 2707 MHz, 14001 MHz, 599.85 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:03.234, 0, 450 MHz, 405 MHz, 38.73 W, 51, 1 %, 3225 MiB
2026/09/24 16:06:03.234, 1, 2707 MHz, 14001 MHz, 600.15 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:04.235, 0, 435 MHz, 405 MHz, 38.38 W, 51, 1 %, 3226 MiB
2026/09/24 16:06:04.235, 1, 2707 MHz, 14001 MHz, 599.99 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:05.238, 0, 532 MHz, 405 MHz, 39.15 W, 51, 2 %, 3226 MiB
2026/09/24 16:06:05.238, 1, 2707 MHz, 14001 MHz, 599.96 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:06.244, 0, 465 MHz, 405 MHz, 39.51 W, 51, 1 %, 3213 MiB
2026/09/24 16:06:06.244, 1, 2707 MHz, 14001 MHz, 599.99 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:07.248, 0, 457 MHz, 405 MHz, 39.80 W, 51, 1 %, 3208 MiB
2026/09/24 16:06:07.248, 1, 2707 MHz, 14001 MHz, 599.89 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:08.250, 0, 547 MHz, 405 MHz, 40.44 W, 51, 2 %, 3212 MiB
2026/09/24 16:06:08.250, 1, 2700 MHz, 14001 MHz, 599.95 W, 69, 100 %, 2757 MiB
2026/09/24 16:06:09.256, 0, 442 MHz, 405 MHz, 38.66 W, 51, 2 %, 3215 MiB
2026/09/24 16:06:09.256, 1, 2707 MHz, 14001 MHz, 600.01 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:10.271, 0, 382 MHz, 405 MHz, 37.18 W, 51, 1 %, 3218 MiB
2026/09/24 16:06:10.271, 1, 2700 MHz, 14001 MHz, 599.93 W, 69, 100 %, 2757 MiB
2026/09/24 16:06:11.272, 0, 405 MHz, 405 MHz, 36.05 W, 51, 1 %, 3217 MiB
2026/09/24 16:06:11.272, 1, 2700 MHz, 14001 MHz, 599.97 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:12.274, 0, 397 MHz, 405 MHz, 36.27 W, 51, 1 %, 3218 MiB
2026/09/24 16:06:12.274, 1, 2700 MHz, 14001 MHz, 599.91 W, 69, 100 %, 2757 MiB
2026/09/24 16:06:13.277, 0, 562 MHz, 405 MHz, 40.31 W, 51, 2 %, 3213 MiB
2026/09/24 16:06:13.277, 1, 2737 MHz, 14001 MHz, 584.71 W, 63, 79 %, 18 MiB
2026/09/24 16:06:14.279, 0, 517 MHz, 405 MHz, 37.97 W, 51, 1 %, 3213 MiB
2026/09/24 16:06:14.279, 1, 2955 MHz, 14001 MHz, 129.95 W, 55, 0 %, 18 MiB
2026/09/24 16:06:15.294, 0, 71 MHz, 405 MHz, 33.24 W, 51, 3 %, 3216 MiB
