timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/23 22:45:47.694, 1, 2970 MHz, 14001 MHz, 180.80 W, 67, 0 %, 396 MiB
2026/09/23 22:45:48.700, 0, 727 MHz, 405 MHz, 31.44 W, 50, 19 %, 3213 MiB
2026/09/23 22:45:48.700, 1, 2805 MHz, 14001 MHz, 605.96 W, 68, 100 %, 396 MiB
2026/09/23 22:45:49.703, 0, 600 MHz, 405 MHz, 29.27 W, 50, 14 %, 3213 MiB
2026/09/23 22:45:49.703, 1, 2797 MHz, 14001 MHz, 600.15 W, 68, 100 %, 396 MiB
2026/09/23 22:45:50.715, 0, 457 MHz, 405 MHz, 28.58 W, 50, 14 %, 3213 MiB
2026/09/23 22:45:50.715, 1, 2790 MHz, 14001 MHz, 600.03 W, 68, 100 %, 396 MiB
2026/09/23 22:45:51.721, 0, 412 MHz, 405 MHz, 29.76 W, 50, 14 %, 3213 MiB
2026/09/23 22:45:51.721, 1, 2790 MHz, 14001 MHz, 600.11 W, 68, 100 %, 396 MiB
2026/09/23 22:45:52.732, 0, 58 MHz, 405 MHz, 30.95 W, 50, 14 %, 3213 MiB
2026/09/23 22:45:52.732, 1, 2790 MHz, 14001 MHz, 599.77 W, 68, 100 %, 396 MiB
2026/09/23 22:45:53.748, 0, 66 MHz, 405 MHz, 30.87 W, 50, 13 %, 3213 MiB
2026/09/23 22:45:53.748, 1, 2790 MHz, 14001 MHz, 599.67 W, 69, 100 %, 396 MiB
2026/09/23 22:45:54.763, 0, 607 MHz, 405 MHz, 30.00 W, 50, 14 %, 3213 MiB
2026/09/23 22:45:54.763, 1, 2790 MHz, 14001 MHz, 600.01 W, 69, 100 %, 396 MiB
2026/09/23 22:45:55.767, 0, 80 MHz, 405 MHz, 31.00 W, 50, 14 %, 3213 MiB
2026/09/23 22:45:55.767, 1, 2790 MHz, 14001 MHz, 600.33 W, 69, 100 %, 396 MiB
